1,1092000
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,529200
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,548800
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,492800
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,623000
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,532000
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,597800
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,176400
71,418600
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,632800
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,610400
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,621600
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,624400
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,701400
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,463400
128,0
129,0
130,0
131,0
132,0
133,0
134,149800
135,478800
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,649600
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,648200
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,679000
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,628600
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,656600
180,0
181,0
182,0
183,0
184,0
185,0
186,624400
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,639800
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,697200
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,558600
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,44800
221,421400
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,651000
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,676200
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,632800
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,533400
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,583800
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,611800
279,0
280,0
281,0
282,0
283,0
284,0
285,571200
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,653800
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,498400
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,665000
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,653800
319,0
320,0
321,0
322,0
323,0
324,0
325,207200
326,466200
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,653800
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,645400
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,691600
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,613200
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,621600
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,631400
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,611800
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,525000
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,604800
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,625800
415,30800
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,589400
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,651000
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,582400
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,144200
449,387800
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,618800
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,533400
467,0
468,0
469,0
470,0
471,0
472,0
473,638400
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,705600
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,595000
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,648200
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,326200
507,243600
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,49000
525,476000
526,0
527,0
528,0
529,0
530,0
531,0
532,673400
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,631400
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,616000
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,548800
558,0
559,0
560,0
561,0
562,0
563,0
564,525000
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,555800
576,0
577,0
578,0
579,0
580,0
581,0
582,466200
583,88200
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,284200
598,362600
599,0
600,0
601,0
602,0
603,0
604,82600
605,578200
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,509600
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,616000
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,561400
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,666400
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,659400
648,0
649,0
650,0
651,0
652,0
653,0
654,676200
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,634200
663,0
664,0
665,0
666,0
667,0
668,0
669,544600
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,624400
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,555800
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,680400
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,670600
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,655200
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,166600
721,473200
722,0
723,0
724,0
725,0
726,0
727,0
728,645400
729,33600
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,497000
738,84000
739,0
740,0
741,0
742,0
743,0
744,0
745,159600
746,460600
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,639800
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,555800
764,0
765,0
766,0
767,0
768,0
769,0
770,581000
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,590800
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,610400
787,0
788,0
789,0
790,0
791,0
792,0
793,638400
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,480200
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,639800
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,642600
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,653800
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,610400
836,0
837,0
838,0
839,0
840,0
841,0
842,119000
843,410200
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,508200
852,0
853,0
854,0
855,0
856,0
857,0
858,604800
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,638400
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,635600
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,635600
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,505400
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,599200
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,634200
909,0
910,0
911,0
912,0
913,0
914,0
915,621600
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,637000
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,520800
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,515200
941,0
942,0
943,0
944,0
945,0
946,0
947,662200
948,0
949,0
950,0
951,0
952,0
953,0
954,532000
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,582400
964,0
965,0
966,0
967,0
968,0
969,0
970,639800
971,0
972,0
973,0
974,0
975,0
976,0
977,93800
978,512400
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,634200
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,613200
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,632800
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,595000
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,631400
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,632800
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,553000
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,1400
1050,525000
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,165200
1059,371000
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,554400
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,658000
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,407400
1085,210000
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,593600
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,520800
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,578200
1112,16800
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,645400
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,365400
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,299600
1139,317800
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,603400
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,614600
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,397600
1165,200200
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,526400
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,406000
1183,186200
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,662200
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,653800
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,655200
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,627200
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,562800
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,649600
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,638400
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,613200
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,637000
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,583800
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,610400
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,618800
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,567000
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,616000
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,673400
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,544600
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,431200
1326,137200
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,583800
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,616000
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,567000
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,54600
1362,543200
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,511000
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,540400
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,564200
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,614600
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,669200
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,694400
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,611800
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,572600
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,533400
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,621600
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,641200
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,667800
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,525000
1471,158200
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,546000
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,652400
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,652400
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,232400
1503,415800
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,611800
1511,0
1512,0
1513,0
1514,0
1515,0
1516,651000
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,586600
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,667800
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,660800
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,611800
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,593600
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,208600
1565,428400
1566,0
1567,0
1568,0
1569,0
1570,0
1571,617400
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,564200
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,508200
1587,138600
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,518000
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,635600
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,553000
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,639800
1619,0
1620,0
1621,0
1622,0
1623,0
1624,495600
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,667800
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,672000
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,582400
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,554400
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,567000
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,676200
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,635600
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,610400
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,513800
1694,81200
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,581000
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,533400
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,389200
1719,182000
1720,0
1721,0
1722,0
1723,0
1724,0
1725,443800
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,544600
1733,130200
1734,0
1735,0
1736,0
1737,0
1738,0
1739,624400
1740,0
1741,0
1742,0
